Holdings,Jan 2032,Jul 2032,2032,Feb 2040,,,
 Holdings P+I,"10,529","80,812","91,341","183,357",,DARA,"47,508"
Target FY P+I,"10,529","26,510","37,039","42,430",,Lower year,2032
P+I per bond,"1,170","1,122",,"1,515",,Upper year,2040
Target FY qty,9,24,,28,,,
$ per bnd,"1,088","1,066",,"1,520",,,
Target FY $,,"25,594","35,191","42,549",,,
Holdings $,,"76,781","76,781","183,871",,,
Holdings excess $,,"51,187","41,590","141,323",,,
Target excess $,,"30,082","30,082","92,918",,,
Buy or sell $,,"-21,106","-11,508","-48,404",,,
Buy or sell qty,,-20,,-32,,,
Buy or sell $,,"-21,328","-21,328","-48,627",,,
Remaining excess $,,"29,859","29,859","92,696",,,
Check weights,,,0.24,0.76,,,